Title,Detail,Price(in dollar),Offer price(in dollar),Number of bed,Rating,Number of Reviews,Start Date,End Date,Length of Stay
"Cabin in County Wicklow, Ireland",House with breathtaking views!,222.0,156.56024096385542,3.0,4.97,104.0,2024-07-16,2024-01-21,-177
"Home in Las Negras, Spain",La Casita de Las Negras,370.0,156.56024096385542,4.0,4.85,26.0,2024-06-14,2024-01-19,-147
"Cabin in Serrazone, Italy",King's Windmill - A little house in the woods,111.0,156.56024096385542,2.0,4.54,201.0,2024-07-21,2024-01-26,-177
"Lighthouse in Ploemeur, France",Q3 BNB Premium Residence - The Engineering Tower,147.0,156.56024096385542,1.0,4.8,10.0,2024-06-05,2024-01-10,-147
"Home in Chalkida, Greece",Seaside & Garden Single family home,104.0,154.0,2.0,4.94,33.0,2024-06-08,2024-01-13,-147
"Place to stay in Scottish Borders, UK","16th Century Scottish Borders Tower, by Earlston",252.0,102.0,3.0,4.96,464.0,2024-07-13,2024-01-18,-177
"Loft in Baošići, Montenegro",Porto Bello Lux ( Sea View & Swimming Pool),58.0,124.0,4.0,4.9,110.0,2024-06-05,2024-01-10,-147
"Shepherd’s hut in County Durham, UK",Ben's hat,82.0,113.0,2.0,4.92,356.0,2024-06-18,2024-01-23,-147
"Home in Bad Sankt Leonhard im Lavanttal, Austria",1A chalet resting crickets + hiking with indoor sauna,123.0,156.56024096385542,3.0,4.67,110.0,2024-06-22,2024-01-27,-147
"Vacation home in Punta Prima, Spain",Beachfront apartment with perfect seaview,231.0,156.56024096385542,4.0,4.85,204.0,2024-06-01,2024-01-06,-147
"Treehouse in Verson, France",2 Cabins perched above a pond!,98.0,156.56024096385542,4.0,4.94,530.0,2024-06-04,2024-01-10,-146
"Cottage in Boscastle, UK","A Boscastle barn, rustic simplicity stunning views",141.0,156.56024096385542,1.0,5.0,18.0,2024-06-11,2024-01-16,-147
"Room in Wien, Austria",Central luxury /Hauptbahnhof,92.0,156.56024096385542,3.0,5.0,9.0,2024-09-17,2024-01-22,-239
"Cabin in County Wicklow, Ireland",House with breathtaking views!,222.0,156.56024096385542,2.0,4.85,26.0,2024-07-16,2024-01-21,-177
"Cabin in Serrazone, Italy",King's Windmill - A little house in the woods,111.0,156.56024096385542,1.0,4.54,201.0,2024-07-21,2024-01-26,-177
"Lighthouse in Ploemeur, France",Q3 BNB Premium Residence - The Engineering Tower,147.0,156.56024096385542,1.0,4.8,10.0,2024-06-05,2024-01-10,-147
"Treehouse in Mons, France",Delightful rustic treehouse,42.0,156.56024096385542,1.0,4.67,9.0,2024-06-01,2024-01-06,-147
"Campsite in Rif, Iceland",Washitsu.Casa camper Parking place w/house access,16.0,156.56024096385542,1.0,4.91,107.0,2024-06-01,2024-01-06,-147
"Condo in Roviano, Italy",Apartment-Mansarda Vista Castello,61.0,156.56024096385542,4.0,5.0,8.0,2024-06-08,2024-01-13,-147
"Cabin in Rosenthal-Bielatal, Germany",Mountain hut in the Elbe sandstone with log cabin sauna,98.0,66.0,4.0,4.78,169.0,2024-06-04,2024-01-09,-147
"Hut in Wolfegg, Germany","Shepherd's hut ""Wolkakkrazer"" near Wolfegg",57.0,72.0,1.0,4.88,220.0,2024-07-02,2024-01-07,-177
"Dome in Atzeneta del Maestrat, Spain",Private domed Copula @ Free Spirit horse refuge,63.0,114.0,3.0,4.61,154.0,2024-06-01,2024-01-06,-147
"Home in Taktikoupoli, Greece",Levanda Home,73.0,156.56024096385542,2.0,4.91,147.0,2024-10-10,2024-01-17,-267
"Nature lodge in Fethiye, Turkey",DEEP OCEAN BUNGALOWS-PANORAMIC &DOUBLE &HALF BOARD,115.0,156.56024096385542,1.0,4.91,75.0,2024-06-05,2024-01-10,-147
"Chalet in Covilhã, Portugal",Xitaca do Pula,78.0,156.56024096385542,2.0,4.95,203.0,2024-06-11,2024-01-17,-146
"Apartment in Abram, Greece",Infinity Abram,61.0,156.56024096385542,1.0,4.57,44.0,2024-06-01,2024-01-07,-146
"Room in Halsham, UK",King bedroom in historic house with garden access,92.0,156.56024096385542,2.0,4.96,24.0,2024-06-04,2024-01-09,-147
"Vacation home in Rocchetta Nervina, Italy",The Loggia,169.0,156.56024096385542,1.0,4.85,61.0,2024-06-02,2024-01-07,-147
"Home in Cernobbio, Italy",Ca' Roncate,127.0,156.56024096385542,1.0,4.9,378.0,2024-10-24,2024-01-31,-267
"Camper/RV in Wettringen, Germany",Trailer Paradise Ivonete _unwind,46.0,156.56024096385542,3.0,4.97,71.0,2024-06-10,2024-01-15,-147
"Home in Otívar, Spain","Views to the valley, Wi-Fi, Air-Con, terrace,",79.0,156.56024096385542,2.0,4.88,140.0,2024-06-11,2024-01-18,-145
"Home in Castelmezzano, Italy",Casa del Mago - Castelmezzano,93.0,156.56024096385542,3.0,4.78,100.0,2024-06-12,2024-01-17,-147
"Windmill in Atouguia da Baleia, Portugal",Moinho do Sr. Arnaldo - Big Windmill at Peniche,196.0,156.56024096385542,1.0,4.85,13.0,2024-06-19,2024-01-26,-145
"Home in Dinami, Italy",Panucci's house- halfway between the sea and mountain,25.0,156.56024096385542,2.0,4.98,245.0,2024-06-01,2024-01-06,-147
"Villa in Abiansemal, Indonesia","Aura House 2bds Eco Bamboo House, Pool, River View",513.0,455.0,2.0,4.87,209.0,2024-01-09,2024-01-14,5
"Hut in Balian Beach, Indonesia",BALIAN TREEHOUSE w beautiful pool,117.0,156.56024096385542,1.0,4.85,287.0,2024-06-21,2024-01-26,-147
"Villa in Ubud, Indonesia",❣️Romantic Staycation-PrivateSunset Pool@megananda,111.0,156.56024096385542,1.0,4.92,388.0,2024-11-18,2024-01-23,-300
"Cabin in Tampaksiring, Indonesia",Dome - Bamboo Villa in Eco Six Bali,420.0,156.56024096385542,1.0,4.87,85.0,2024-07-04,2024-01-09,-177
"Treehouse in Balamban, Philippines",Treehouse De Valentine,255.0,156.56024096385542,5.0,4.91,147.0,2024-06-15,2024-01-20,-147
"Villa in Tampaksiring, Indonesia",Luxury 5 BDR Resort w/ Gym & Ricefield View,506.0,156.56024096385542,5.0,4.78,101.0,2024-09-12,2024-01-17,-239
"Island in El Nido, Philippines","Exclusive Private Island + Brother Island, El Nido",469.0,156.56024096385542,11.0,4.82,131.0,2024-06-01,2024-01-06,-147
"Room in Chom Phon, Thailand",15min walk to MRT Private room for 3 Free Brekkie.,31.0,156.56024096385542,3.0,4.9,255.0,2024-06-24,2024-01-29,-147
"Villa in Kecamatan Ubud, Indonesia",Elegant & luxurious 3 BR villa rice-fields pano,322.0,156.56024096385542,4.0,4.65,94.0,2024-06-21,2024-01-26,-147
"Villa in Tabanan, Indonesia",Exclusive Beach Villa - Balian Beach,240.0,156.56024096385542,4.0,4.8,105.0,2024-06-01,2024-01-06,-147
"Villa in Singaraja, Indonesia","180° VIEW, PRIVATE POOL VILLA..",206.0,156.56024096385542,1.0,4.93,355.0,2024-06-11,2024-01-16,-147
"Apartment in Phuket, Thailand, Thailand",White Breeze Pool 1BD Apartment,64.0,156.56024096385542,1.0,4.69,112.0,2024-06-04,2024-01-10,-146
"Villa in Nusa Ceningan, Indonesia",Beautiful villa on the edge of BLUE LAGOON,264.0,156.56024096385542,1.0,4.83,1239.0,2024-06-01,2024-01-06,-147
"Villa in Kecamatan Ubud, Indonesia",Intimate Private Pool Villas in Ubud center,209.0,156.56024096385542,1.0,4.89,223.0,2024-06-07,2024-01-12,-147
"Villa in Kecamatan Kuta Utara, Indonesia",Love Nest for honeymooner at best location,251.0,156.56024096385542,1.0,4.98,87.0,2024-09-03,2024-01-08,-239
"Earthen home in Mueang Chiang Mai District, Thailand",Leafy Greens Chiangmai : Mushroom M2,22.0,156.56024096385542,1.0,4.87,210.0,2024-06-13,2024-01-20,-145
"Villa in Kecamatan Kuta Utara, Indonesia",Love Nest for honeymooner at best location,251.0,156.56024096385542,1.0,4.98,87.0,2024-09-03,2024-01-08,-239
"Villa in Payangan, Indonesia",❣️Secluded Getaway Staycation+SunsetPool@megananda,111.0,156.56024096385542,1.0,4.89,364.0,2024-11-06,2024-01-11,-300
"Earthen home in Mueang Chiang Mai District, Thailand",Leafy Greens Chiangmai : Mushroom M2,22.0,156.56024096385542,1.0,4.87,210.0,2024-06-13,2024-01-20,-145
"Villa in Ubud, Kabupaten Gianyar, Indonesia",#3# Beautiful Balinese Villa with Private Pool,137.0,156.56024096385542,1.0,4.91,434.0,2024-11-12,2024-01-17,-300
"Villa in เกาะพงัน, Thailand","Palma Villa, Spectacular Sea View Villa with Pool",238.0,156.56024096385542,2.0,5.0,13.0,2024-07-17,2024-01-22,-177
"Villa in Tegallalang, Indonesia",Luxurious Private Pool Villa with Garden North of Ubud,126.0,156.56024096385542,2.0,4.92,166.0,2024-10-14,2024-01-19,-269
"Bungalow in Ubud, Indonesia",Pondok Prapen -Ubud Center Private Pool Villa,217.0,156.56024096385542,3.0,4.89,333.0,2024-06-15,2024-01-20,-147
"Home in Ko Samui, Thailand",the naked house,205.0,156.56024096385542,7.0,4.88,183.0,2024-06-05,2024-01-10,-147
"Villa in Kamala, Thailand","""Villa Sauvage 2 br"" - a magic horizon of coziness",122.0,156.56024096385542,2.0,4.57,115.0,2024-06-06,2024-01-11,-147
"Home in Mabini, Philippines",Bathing Private Exclusive Cottage,183.0,156.56024096385542,6.0,4.91,181.0,2024-06-12,2024-01-17,-147
"Tiny home in Cavinti, Philippines","Explore, Experience, Enjoy T-HOUSE Lakestaycation!",39.0,156.56024096385542,2.0,4.43,160.0,2024-06-02,2024-01-07,-147
"Hut in Tampaksiring, Indonesia",Hidden Bamboo Bali,136.0,156.56024096385542,1.0,4.91,161.0,2024-11-08,2024-01-13,-300
"Room in Kecamatan Denpasar Selatan, Indonesia",Poolside room in large villa. 5 minutes to beach.,34.0,156.56024096385542,1.0,5.0,37.0,2024-08-10,2024-01-16,-207
"Room in Bangkok, Thailand",Ba hao Residence x MAITRI CHIT ROOM,96.0,156.56024096385542,1.0,4.93,431.0,2024-08-15,2024-01-20,-208
"Boutique hotel in Ko Samui, Thailand",Pool Villa by Humble,63.0,156.56024096385542,1.0,4.93,105.0,2024-06-15,2024-01-20,-147
"Apartment in Muang Pattaya, Thailand",[VR] 2BR High Skyline Ocean View @ Pattaya,136.0,62.0,3.0,4.69,85.0,2024-06-05,2024-01-10,-147
"Home in Kuta, Indonesia",Villa Seminyak 1 Bedroom 10 Mins to Beach,69.0,55.0,1.0,4.67,340.0,2024-06-11,2024-01-16,-147
"Villa in Ko Lanta District, Thailand","DEEPSPACE villa X1 ,Secret Address on Quiet Beach",164.0,24.0,3.0,4.7,47.0,2024-06-06,2024-01-11,-147
"Place to stay in Balian Beach, Indonesia",BALIAN TREEHOUSE 2 - with private pool,131.0,39.0,3.0,4.89,140.0,2024-07-21,2024-01-28,-175
"Villa in Thành phố Hội An, Vietnam",Private pool two bedroom villa - villa the cow,97.0,53.0,2.0,4.8,124.0,2024-06-03,2024-01-08,-147
"Apartment in 清迈, Thailand",清迈 The Astra Condo长康路无边泳池豪华公寓古城夜市边Chang Khlan road,33.0,809.0,1.0,4.68,158.0,2024-06-12,2024-01-17,-147
"Place to stay in Thành phố Hội An, Vietnam",Garden view twin room with breakfast-Ngan Phu,24.0,116.0,2.0,4.85,255.0,2024-06-10,2024-01-17,-145
"Room in Sidemen, Indonesia",Heritage of Art Villa Iseh in Sidemen East Bali,154.0,99.0,1.0,4.89,111.0,2024-06-01,2024-01-06,-147
"Apartment in Tambon Patong, Thailand",One-Bedroom Suite in Patong Beach,49.0,156.56024096385542,2.0,4.73,67.0,2024-06-09,2024-01-14,-147
"Condo in Khet Watthana, Thailand","【CENTRAL STUDIO】0-min BTS ASOK, FAST WIFI, NETFLIX",58.0,156.56024096385542,4.0,4.74,252.0,2024-06-01,2024-01-06,-147
"Villa in Koh Yao Noi, Thailand","Eagles Nest, Luxury Villa, Koh Yao Noi",986.0,156.56024096385542,22.0,4.95,43.0,2024-06-01,2024-01-06,-147
"Hotel room in Thành phố Hội An, Vietnam",FIG TREE BOUTIQUE VILLA,30.0,156.56024096385542,3.0,4.83,92.0,2024-06-01,2024-01-06,-147
"Earthen home in Ao nang, Thailand",Seaview Bedrock Home,131.0,156.56024096385542,3.0,4.8,35.0,2024-06-01,2024-01-06,-147
"Villa in Langkawi, Malaysia",Alamanda Tropical Wooden Villa - Pool View,97.0,156.56024096385542,2.0,4.87,196.0,2024-06-15,2024-01-20,-147
"Villa in Koh Lanta Island, Thailand",Perch Villa - Clifftop villa spectacular sea view,162.0,156.56024096385542,1.0,4.94,71.0,2024-06-06,2024-01-11,-147
"Guesthouse in Kecamatan Kuta Utara, Indonesia",Tropical Private Room Canggu 3 by Rios Guest House,33.0,156.56024096385542,3.0,4.86,7.0,2024-08-04,2024-01-11,-206
"Villa in Rayong, Thailand","Luxury Beach Front Pool Villa, Phuphatara Rayong",359.0,156.56024096385542,1.0,4.68,85.0,2024-06-06,2024-01-11,-147
"Cottage in Lamai Beach, Thailand",TROPICAL POOL BEACH VILLA III | Beach-Pool-Freedom,142.0,156.56024096385542,1.0,4.92,25.0,2024-06-03,2024-01-08,-147
"Villa in Tampaksiring, Indonesia",Romantic 1br Villa - Ubud Jungle,363.0,156.56024096385542,1.0,5.0,13.0,2024-12-24,2024-01-29,-330
"Treehouse in Tampaksiring, Indonesia",umatreehouse,133.0,156.56024096385542,1.0,4.93,164.0,2024-11-16,2024-01-21,-300
"Treehouse in Ubud, Indonesia","Promo Price! Magical Treehouse, Stunning Views.",280.0,156.56024096385542,4.0,4.78,528.0,2024-08-23,2024-01-30,-206
"Bungalow in Nusapenida, Indonesia",Tropical Glamping 🌴 Cliff Side Ocean View + Net🐬,474.0,156.56024096385542,1.0,4.93,209.0,2024-10-26,2024-01-31,-269
"Treehouse in Klungkung, Indonesia",Cliffside Bamboo Treehouse - Private Pool & View,484.0,156.56024096385542,1.0,5.0,59.0,2024-11-14,2024-01-19,-300
"Cabin in Klungkung, Indonesia",Dreamy Cliffside Bamboo Villa with Pool and View,484.0,156.56024096385542,1.0,4.98,58.0,2024-11-05,2024-01-10,-300
"Resort in Nusa Lembongan,, Indonesia",Acala Lembongan-Deluxe Suite Sea View,92.0,156.56024096385542,1.0,4.63,51.0,2024-10-06,2024-01-11,-269
"Treehouse in Kabupaten Buleleng, Indonesia",Seaside Designer Treehouse ~ Stunning Views ~ Pool,121.0,156.56024096385542,1.0,4.75,4.0,2024-06-13,2024-01-18,-147
"Room in Kabupaten Buleleng, Indonesia",private villa with infinity pool hill and sea view,53.0,156.56024096385542,1.0,4.8,35.0,2024-10-06,2024-01-11,-269
"Hut in Ubud, Indonesia",50% OFF | Ipian Jiwa Eco Bamboo Uniquely Escape,89.0,156.56024096385542,6.0,4.67,128.0,2024-10-11,2024-01-16,-269
"Villa in Lian, Philippines",SoftLaunch IbizaInspiredBeachfrontVilla inBatangas,473.0,156.56024096385542,1.0,4.91,11.0,2024-07-02,2024-01-07,-177
"Hotel in Kecamatan Ubud, Indonesia",Stunning Room Near Ubud Market - Outdoor Pool!!,44.0,156.56024096385542,1.0,4.78,358.0,2024-09-14,2024-01-20,-238
"Hotel in Tambon Ratsada, Thailand",Hotel Room with Private Plunge Pool Siray Bay#2,71.0,156.56024096385542,1.0,5.0,13.0,2024-06-13,2024-01-18,-147
"Guest suite in Bingin Beach, Indonesia",Suite 2 - Beachfront Luxury Suite on Bingin Beach,267.0,156.56024096385542,1.0,4.93,96.0,2024-10-16,2024-01-21,-269
"Villa in Lian, Philippines",SoftLaunch IbizaInspiredBeachfrontVilla inBatangas,473.0,132.0,9.0,4.91,11.0,2024-07-02,2024-01-07,-177
"Hotel in Tambon Ratsada, Thailand",Hotel Room with Private Plunge Pool Siray Bay#2,71.0,156.56024096385542,1.0,5.0,13.0,2024-06-13,2024-01-18,-147
"Guest suite in Bingin Beach, Indonesia",Suite 2 - Beachfront Luxury Suite on Bingin Beach,267.0,156.56024096385542,3.0,4.93,96.0,2024-10-16,2024-01-21,-269
"Treehouse in Klungkung, Indonesia",3 Bdr - The Dream Cliffside Bamboo Villa By Avana,913.0,156.56024096385542,1.0,4.97,30.0,2024-08-03,2024-01-08,-208
"Villa in Kecamatan Ubud, Indonesia",Madara Ubud Villas,194.0,156.56024096385542,2.0,4.83,129.0,2024-08-02,2024-01-07,-208
"Shipping container in Tambon Bo Put, Thailand",New 2BR+2Bath Eco Home,53.0,156.56024096385542,2.0,4.73,11.0,2024-07-24,2024-01-29,-177
"Home in Kecamatan Kuta Selatan, Indonesia",One-Bedroom Villa Suite Deluxe,229.0,156.56024096385542,1.0,4.95,20.0,2024-09-24,2024-01-29,-239
"Treehouse in Tegallalang, Indonesia",Enchanted Hobbit Treehouse Nestled in the Jungle,207.0,156.56024096385542,1.0,4.92,117.0,2024-10-17,2024-01-24,-267
"Home in Tegallalang, Indonesia",Romantic hideaway for two,33.0,156.56024096385542,2.0,4.97,229.0,2024-10-25,2024-01-30,-269
"Apartment in Nasugbu, Philippines",PICO DE LORO ( Santorini Vibe),112.0,156.56024096385542,4.0,4.88,16.0,2024-06-25,2024-01-30,-147
"Villa in Kecamatan Tampaksiring, Indonesia",*NEW* Lovely New 3BR Villa Stunning Jungle View,381.0,156.56024096385542,1.0,4.7,69.0,2024-09-12,2024-01-17,-239
"Villa in South Kuta, Indonesia",Nalu Bingin - 1 Bedroom Villa,202.0,156.56024096385542,2.0,5.0,5.0,2024-09-25,2024-01-30,-239
"Villa in Kecamatan Ubud, Indonesia",Pelangi Treehouse (formerly Skai Joglo),229.0,156.56024096385542,1.0,4.92,112.0,2024-09-25,2024-01-30,-239
"Place to stay in Pecatu, Indonesia",°3 Charming room in Bingin beach,155.0,156.56024096385542,1.0,4.52,523.0,2024-09-10,2024-01-15,-239
"Villa in Banjar, Indonesia",4br Lovina Paradise - Ocean View,460.0,275.0,4.0,4.93,40.0,2024-06-09,2024-01-14,-147
"Condo in Johor Bahru, Malaysia","Baby & kids friendly, JB CIQ, Romantic Duplex",75.0,229.0,2.0,4.82,182.0,2024-06-25,2024-01-30,-147
"Tiny home in Concepcion, Philippines",Tiny House by The Modern Escape,128.0,103.0,2.0,5.0,32.0,2024-07-03,2024-01-08,-177
"Villa in Kecamatan Kuta Utara, Indonesia",Gorgeous luxury 1 bedroom villa in heart of Canggu,325.0,156.56024096385542,1.0,4.87,47.0,2024-09-09,2024-01-14,-239
"Villa in Ubud, Indonesia",Ceylon Villas 4 - 1BR Villa! 5 mins to Ubud 🌴,125.0,156.56024096385542,1.0,4.92,184.0,2024-11-23,2024-01-28,-300
"Place to stay in Kecamatan Kuta Selatan, Indonesia",Gypsea Bali Bungalow with private bathroom and AC,155.0,156.56024096385542,1.0,4.92,78.0,2024-09-11,2024-01-16,-239
"Hut in Kecamatan Ubud, Indonesia","DAY CLOUDS, Ubud",72.0,156.56024096385542,1.0,4.59,122.0,2024-07-20,2024-01-25,-177
"Cabin in Amadeo, Philippines",Cozy Loft Cabins Near Tagaytay,252.0,156.56024096385542,8.0,4.88,43.0,2024-08-07,2024-01-13,-207
"Place to stay in Tabanan, Indonesia",Ocean View and Private Pool at Balian Beach,116.0,156.56024096385542,1.0,4.82,122.0,2024-07-23,2024-01-28,-177
"Cabin in Kecamatan Sukasada, Indonesia",Wanagiri Cabin,148.0,156.56024096385542,2.0,4.97,29.0,2024-11-01,2024-01-07,-299
"Treehouse in Kecamatan Ubud, Indonesia",Bamboo Turtle cabin river view 5km to Ubud center,118.0,156.56024096385542,1.0,4.88,75.0,2024-07-09,2024-01-14,-177
"Home in Kecamatan Ubud, Indonesia",PROMO! Luxury Villa Escape in Ubud 2 BR,306.0,156.56024096385542,2.0,5.0,4.0,2024-09-01,2024-01-06,-239
"Apartment in Candidasa, Indonesia",Villa Sea Spray Bali Cowrie literally on the Ocean,130.0,156.56024096385542,2.0,4.79,112.0,2024-08-19,2024-01-24,-208
"Home in Kecamatan Selat, Indonesia",The Nude House,305.0,156.56024096385542,2.0,4.68,19.0,2024-07-10,2024-01-15,-177
"Villa in Kathu, Thailand",Tiny Poolvilla in the heart of Phuket,119.0,156.56024096385542,1.0,5.0,98.0,2024-07-25,2024-01-30,-177
"Treehouse in Kecamatan Ubud, Indonesia",Bamboo Turtle cabin river view 5km to Ubud center,118.0,172.0,1.0,4.88,75.0,2024-07-09,2024-01-14,-177
"Home in Kecamatan Ubud, Indonesia",PROMO! Luxury Villa Escape in Ubud 2 BR,306.0,63.0,2.0,5.0,4.0,2024-09-01,2024-01-06,-239
"Home in Kecamatan Selat, Indonesia",The Nude House,305.0,156.56024096385542,2.0,4.68,19.0,2024-07-10,2024-01-15,-177
"Villa in Kathu, Thailand",Tiny Poolvilla in the heart of Phuket,119.0,156.56024096385542,1.0,5.0,98.0,2024-07-25,2024-01-30,-177
"Apartment in Kuala Lumpur, Malaysia",Instagrammable Loft Studio in EkoCheras KL,60.0,156.56024096385542,1.0,4.94,84.0,2024-07-09,2024-01-14,-177
"Villa in Kecamatan Banjar, Indonesia",❤PROMO Beachfront oasis. Private pool and firepit,189.0,156.56024096385542,4.0,4.74,46.0,2024-06-16,2024-01-21,-147
"Condo in Federal Territory of Kuala Lumpur,, Malaysia",Arte Mont Kiara Muji Suites,51.0,156.56024096385542,3.0,4.59,406.0,2024-06-04,2024-01-11,-145
"Villa in Tagaytay, Philippines",My Canopy Tagaytay (with thermal pool),424.0,156.56024096385542,17.0,4.91,81.0,2024-09-17,2024-01-22,-239
"Apartment in phường 6, Vietnam",CITY APART ★ CENTRAL City-FREE Pool & Gym,31.0,156.56024096385542,1.0,4.64,96.0,2024-06-01,2024-01-06,-147
"Place to stay in Ubud, Indonesia",Villa Akasha - Bio-Architected Eco Dome,86.0,156.56024096385542,1.0,4.65,303.0,2024-09-19,2024-01-24,-239
"Resort in Lian, Philippines",#1Beach Front Villa room Villa Blanca Beach Front,71.0,156.56024096385542,1.0,4.58,114.0,2024-06-04,2024-01-09,-147
"Villa in Ubud, Indonesia",Luxury 1 BR Villa w/ Private Pool & Ricefield View,92.0,156.56024096385542,4.0,4.95,208.0,2024-10-25,2024-01-30,-269
"Apartment in Melaka, Malaysia",Yuma • Atlantis Melaka/3BR 8Pax WiFi Balcony SeaView,40.0,156.56024096385542,2.0,4.43,7.0,2024-06-18,2024-01-23,-147
"Home in 頭城鎮, Taiwan","Newly furnished first row of seaview in Moon, sea view, perfect sunrise ~ long term rental welcome (also discounted)",155.0,156.56024096385542,2.0,4.92,216.0,2024-07-09,2024-01-14,-177
"Boutique hotel in Kathu District, Thailand",B Designer King Bed with Partial SEA VIEW bath,75.0,156.56024096385542,2.0,4.5,281.0,2024-06-02,2024-01-07,-147
"Hut in Selat, Indonesia","Vaikuntha#3, The Pursuit of Perfect Rustic Beauty",201.0,156.56024096385542,2.0,4.82,146.0,2024-10-15,2024-01-20,-269
"Resort in Tambon Maret, Thailand",DELUXE SEA VIEW + Hot Tub @Koh Samui,72.0,31.0,1.0,4.63,16.0,2024-06-02,2024-01-07,-147
"Apartment in Bangkok, Thailand",Spacious Apt in City of Angels,19.0,46.0,1.0,4.95,438.0,2024-06-08,2024-01-13,-147
"Apartment in Phuket, Thailand","Luxury room & Sky pool, in Phuket town",40.0,73.0,1.0,4.81,210.0,2024-06-08,2024-01-13,-147
"Tent in Kintamani, Indonesia",Mt Batur Sunrise & overnight,42.0,156.56024096385542,1.0,4.97,29.0,2024-06-11,2024-01-16,-147
"Villa in Ubud, Indonesia",Ceylon Villas 2 - 2BR Villa! 5 mins to Ubud 🌴,157.0,156.56024096385542,2.0,4.88,112.0,2024-10-12,2024-01-17,-269
"Room in Kabupaten Badung, Indonesia",Private room4 Legian/breakfast/close to Kuta beach,81.0,156.56024096385542,1.0,4.91,34.0,2024-06-06,2024-01-11,-147
"Villa in Karangasem, Indonesia","Luxury Ocean Front, 2,500sq ft Private Eco Villa!",450.0,156.56024096385542,1.0,4.96,24.0,2024-06-16,2024-01-21,-147
"Condo in Na Chom Thian, Thailand",Veranda Residence pattaya 2bedroom partial seaview,83.0,156.56024096385542,2.0,4.89,186.0,2024-06-06,2024-01-11,-147
"Home in Hua Hin, Thailand",Cool Home w Garden near Sea,77.0,156.56024096385542,2.0,4.81,360.0,2024-07-06,2024-01-11,-177
"Loft in Pasig, Philippines",Cozy & Modern Loft w/ high speed wi-fi and Netflix,35.0,156.56024096385542,1.0,4.92,196.0,2024-07-05,2024-01-10,-177
"Apartment in Phuket, Thailand",Cozy Place near Shopping Center,35.0,156.56024096385542,2.0,4.96,237.0,2024-06-20,2024-01-25,-147
"Home in Tabanan, Indonesia",Ocean View Pool Villa @ Balian Beach,170.0,156.56024096385542,1.0,4.76,282.0,2024-06-08,2024-01-13,-147
"Condo in George Town, Malaysia",Lovely 1 Bedroom Suite with Pool View,26.0,156.56024096385542,3.0,4.27,56.0,2024-06-05,2024-01-10,-147
"Home in Santander, Philippines",Private Beach House. The Shack,89.0,156.56024096385542,1.0,4.88,41.0,2024-06-11,2024-01-18,-145
"Treehouse in Bali, Indonesia",Lounge Poolside Under Lush Greenery at an Organic Bamboo Pad,69.0,156.56024096385542,1.0,4.71,98.0,2024-07-03,2024-01-08,-177
"Apartment in Phuket, Thailand","Luxury room & Sky pool, in Phuket town",40.0,31.0,1.0,4.81,210.0,2024-06-08,2024-01-13,-147
"Apartment in Kuala Lumpur, Malaysia",Walk to Petronas Towers from a Stylish Apartment,71.0,182.0,1.0,4.89,296.0,2024-06-05,2024-01-10,-147
"Room in Kabupaten Badung, Indonesia",Private room4 Legian/breakfast/close to Kuta beach,81.0,156.56024096385542,1.0,4.91,34.0,2024-06-06,2024-01-11,-147
"Villa in Karangasem, Indonesia","Luxury Ocean Front, 2,500sq ft Private Eco Villa!",450.0,156.56024096385542,1.0,4.96,24.0,2024-06-16,2024-01-21,-147
"Condo in Na Chom Thian, Thailand",Veranda Residence pattaya 2bedroom partial seaview,83.0,156.56024096385542,2.0,4.89,186.0,2024-06-06,2024-01-11,-147
"Home in Hua Hin, Thailand",Cool Home w Garden near Sea,77.0,156.56024096385542,2.0,4.81,360.0,2024-07-06,2024-01-11,-177
"Hotel room in Gili Trawangan, Indonesia",Coconut Garden Resort Gili Trawangan,69.0,156.56024096385542,1.0,4.84,242.0,2024-07-24,2024-01-30,-176
"Loft in Pasig, Philippines",Cozy & Modern Loft w/ high speed wi-fi and Netflix,35.0,156.56024096385542,2.0,4.92,196.0,2024-07-05,2024-01-10,-177
"Tiny home in Kabupaten Tabanan, Indonesia",Balian Beachfront Luxury Tiny House,186.0,156.56024096385542,4.0,5.0,19.0,2024-06-05,2024-01-10,-147
"Home in Tabanan, Indonesia",Ocean View Pool Villa @ Balian Beach,170.0,156.56024096385542,1.0,4.76,282.0,2024-06-08,2024-01-13,-147
"Apartment in Port Dickson, Malaysia",PD D'Wharf Premium Suite - Full Seaview (4-6 Pax),54.0,156.56024096385542,1.0,4.88,129.0,2024-06-08,2024-01-15,-145
"Treehouse in Bali, Indonesia",Lounge Poolside Under Lush Greenery at an Organic Bamboo Pad,69.0,156.56024096385542,2.0,4.71,98.0,2024-07-03,2024-01-08,-177
"Apartment in PHUKET, Thailand",Studio in Beachfront Private Villa w/Infinity pool,38.0,156.56024096385542,2.0,4.88,64.0,2024-06-18,2024-01-23,-147
"Room in Phuket, Thailand",Grand Seaview Pool Suite •,111.0,156.56024096385542,2.0,4.85,26.0,2024-06-01,2024-01-06,-147
"Home in ตำบล บ้านใต้, Thailand","❤️THE LOFT, Romantic Beachfront Home, HIN KONG.",198.0,156.56024096385542,2.0,4.96,56.0,2024-08-18,2024-01-23,-208
"Home in ตำบล บ้านใต้, Thailand","❤️THE LOFT, Romantic Beachfront Home, HIN KONG.",198.0,182.0,2.0,4.96,56.0,2024-08-18,2024-01-23,-208
